Sample,Protein,Total Area
c2b3_15-R1,tr|A1U3L3|A1U3L3_MARHV,4666
c2b3_15-R2,sp|P27250|AHR_ECOLI,7013
c2b3_15-R2,sp|P69451|LCFA_ECOLI,112906
c2b3_15-R2,sp|Q41635|FATB_UMBCA,141282
c2b3_15-R2,sp|Q6F7B8|ACR1_ACIAD,1960
c2b3_15-R2,tr|A1U2T0|A1U2T0_MARHV,140824
c2b3_15-R2,tr|A1U3L3|A1U3L3_MARHV,3598
c2b3_15-R3,sp|P27250|AHR_ECOLI,6996
c2b3_15-R3,sp|P69451|LCFA_ECOLI,109250
c2b3_15-R3,sp|Q41635|FATB_UMBCA,145986
c2b3_15-R3,sp|Q6F7B8|ACR1_ACIAD,1080
c2b3_15-R3,tr|A1U2T0|A1U2T0_MARHV,146146
c2b3_15-R3,tr|A1U3L3|A1U3L3_MARHV,2006
c2b3_16-R1,sp|P27250|AHR_ECOLI,5982
c2b3_16-R1,sp|P69451|LCFA_ECOLI,53887
c2b3_16-R1,sp|Q41635|FATB_UMBCA,128698
c2b3_16-R1,sp|Q6F7B8|ACR1_ACIAD,1914
c2b3_16-R1,tr|A1U2T0|A1U2T0_MARHV,145263
c2b3_16-R1,tr|A1U3L3|A1U3L3_MARHV,972
c2b3_16-R2,sp|P27250|AHR_ECOLI,6076
c2b3_16-R2,sp|P69451|LCFA_ECOLI,50384
c2b3_16-R2,sp|Q41635|FATB_UMBCA,117775
c2b3_16-R2,sp|Q6F7B8|ACR1_ACIAD,2825
c2b3_16-R2,tr|A1U2T0|A1U2T0_MARHV,135221
c2b3_16-R2,tr|A1U3L3|A1U3L3_MARHV,2806
c2b3_16-R3,sp|P27250|AHR_ECOLI,6608
c2b3_16-R3,sp|P69451|LCFA_ECOLI,57026
c2b3_16-R3,sp|Q41635|FATB_UMBCA,124320
c2b3_16-R3,sp|Q6F7B8|ACR1_ACIAD,1386
c2b3_16-R3,tr|A1U2T0|A1U2T0_MARHV,132103
c2b3_16-R3,tr|A1U3L3|A1U3L3_MARHV,1219
c2b3_17-R1,sp|P27250|AHR_ECOLI,7410
c2b3_17-R1,sp|P69451|LCFA_ECOLI,33553
