Study ID,Study Name,Study Contact,Line ID,Line Name,Control,Strain,Carbon Source,Carbon Labeling,Line Experimenter,Line Contact,Media,Protocol ID,Protocol Name,Assay ID,Assay Name,Measurement Type,Compartment,Measurement Updated,X Units,Y Units,0.0,27.0
47082,Ajinomoto Cycle 1,,47190,b3-01-3,F,JBEI-17784,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48239,b3-01-3,LCFA_ECOLI,,2017-09-06 22:22:15.674177+00:00,hours,,92864.0,
47082,Ajinomoto Cycle 1,,47151,b2-9017-3,F,JBEI-9017,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48233,b2-9017-3,A1U2T0_MARHV,,2017-09-06 22:22:14.765879+00:00,hours,,1123316.0,
47082,Ajinomoto Cycle 1,,47150,b2-9017-2,F,JBEI-9017,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48232,b2-9017-2,A1U2T0_MARHV,,2017-09-06 22:22:14.572121+00:00,hours,,1178613.0,
47082,Ajinomoto Cycle 1,,47149,b2-9017-1,F,JBEI-9017,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48231,b2-9017-1,A1U2T0_MARHV,,2017-09-06 22:22:14.373412+00:00,hours,,1070799.0,
47082,Ajinomoto Cycle 1,,47148,b2-36-3,F,JBEI-17812,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48230,b2-36-3,A1U2T0_MARHV,,2017-09-06 22:22:14.154390+00:00,hours,,0.0,
47082,Ajinomoto Cycle 1,,47147,b2-36-2,F,JBEI-17812,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48229,b2-36-2,A1U2T0_MARHV,,2017-09-06 22:22:13.955272+00:00,hours,,0.0,
47082,Ajinomoto Cycle 1,,47146,b2-36-1,F,JBEI-17812,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48228,b2-36-1,A1U2T0_MARHV,,2017-09-06 22:22:13.765152+00:00,hours,,0.0,
47082,Ajinomoto Cycle 1,,47145,b2-35-3,F,JBEI-17829,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48227,b2-35-3,A1U2T0_MARHV,,2017-09-06 22:22:13.514235+00:00,hours,,3102.0,
47082,Ajinomoto Cycle 1,,47144,b2-35-2,F,JBEI-17829,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48226,b2-35-2,A1U2T0_MARHV,,2017-09-06 22:22:13.204755+00:00,hours,,2882.0,
47082,Ajinomoto Cycle 1,,47143,b2-35-1,F,JBEI-17829,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48225,b2-35-1,A1U2T0_MARHV,,2017-09-06 22:22:12.911279+00:00,hours,,3086.0,
47082,Ajinomoto Cycle 1,,47142,b2-34-3,F,JBEI-17831,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48224,b2-34-3,A1U2T0_MARHV,,2017-09-06 22:22:12.717558+00:00,hours,,26490.0,
47082,Ajinomoto Cycle 1,,47141,b2-34-2,F,JBEI-17831,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48223,b2-34-2,A1U2T0_MARHV,,2017-09-06 22:22:12.459243+00:00,hours,,24299.0,
47082,Ajinomoto Cycle 1,,47136,b2-32-3,F,JBEI-17826,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48218,b2-32-3,LCFA_ECOLI,,2017-09-06 22:22:11.370593+00:00,hours,,217714.0,
