,C12 aldehyde saturated,C12 aldehyde,C13 aldehyde,C14 aldehyde saturated,C14 aldehyde,C15 aldehyde,C16 aldehyde saturated,C16 aldehyde,C17 aldehyde,C19 aldehyde
b2-19-3,282,17752,2810,2561,2991,245,1278,1024,860,447
b3-21-1,370,4739,6574,494,1416,499,311,857,278,228
b3-21-1,353,4687,5782,508,1325,464,297,793,247,210
b3-21-2,365,4590,6348,464,1349,491,307,866,245,209
b3-21-2,335,4176,5484,431,1166,441,297,855,237,202
b3-21-3,328,4552,5444,486,1449,440,283,782,248,192
b3-21-3,305,4212,5032,463,1348,416,283,771,245,176
b3-23-1,282,6331,5361,703,1803,322,199,504,258,174
b3-23-1,278,5906,4986,657,1725,346,219,506,276,163
b3-23-2,375,9153,5790,1133,2793,444,300,672,378,218
b3-23-2,316,7690,4837,964,2332,395,267,594,349,181
b3-23-3,264,7838,4223,877,1963,220,192,415,236,129
b3-23-3,326,8258,4591,941,2104,351,243,531,315,174
b3-24-1,247,5527,2930,548,1528,228,150,305,234,164
b3-24-1,228,4858,2513,497,1274,204,149,282,226,139
b3-24-2,374,7041,3654,782,1997,371,251,548,385,233
b3-24-2,360,7132,3593,784,1980,351,250,528,394,242
b3-24-3,263,6051,3052,640,1649,270,198,364,260,202
b3-24-3,235,5984,2939,581,1540,235,180,335,270,175
b2-25-1,364,7584,7146,852,3022,690,379,821,387,282
b2-25-1,261,6576,6137,675,2442,477,292,657,288,215
b2-25-2,314,5922,6848,584,1998,531,275,690,316,245
b2-25-2,342,6458,7277,664,2096,586,322,737,351,260
b2-25-3,245,5046,6076,480,1931,570,250,541,252,217
b2-25-3,232,4709,5650,470,1767,533,241,523,258,213
b2-26-1,321,6762,7263,672,2219,507,269,683,347,228
b2-26-1,314,6578,7134,648,2135,478,259,669,344,210
b2-26-2,324,7144,6995,735,2366,519,261,708,351,246
b2-26-2,273,7656,7452,703,2454,410,225,640,295,216
b2-26-3,310,8167,7681,847,3237,647,297,809,384,247
b2-26-3,290,7435,7058,770,2900,563,280,751,374,217
b2-27-1,286,5594,8508,578,2041,546,182,538,266,203
b2-27-1,242,4831,7465,502,1747,415,157,465,226,184
b2-27-2,330,6698,8636,696,2543,591,216,600,314,244
b2-27-2,259,5554,7410,568,2035,421,170,477,259,185
b2-27-3,316,6758,8629,650,2518,627,207,575,312,235
b2-27-3,317,5380,6545,570,2003,530,220,557,312,230
b2-28-1,355,8989,6480,1069,3352,664,403,795,430,252
b2-28-1,316,8244,6000,947,3063,533,373,704,404,232
b2-28-2,401,9306,6817,1082,3574,705,470,903,462,299
b2-28-2,367,8174,6294,961,3213,638,427,808,425,287
b2-28-3,349,8974,5713,1064,3082,626,428,783,412,275
b2-28-3,287,7444,5622,809,2828,500,348,668,339,234
b2-29-1,398,11432,7497,1529,3999,598,377,793,504,260
b2-29-1,372,10072,6854,1317,3545,492,322,726,451,229
b2-29-2,460,11192,7839,1506,4231,677,380,853,481,279
b2-29-2,358,9383,6639,1207,3383,505,311,700,444,234
b2-29-3,401,8647,8781,1065,3237,740,340,817,418,259
b2-29-3,397,8809,9014,1046,3222,675,332,814,409,275
b2-30-1,336,6427,8228,662,2169,565,227,620,324,232
b2-30-1,317,6112,7820,635,2043,480,218,607,326,211
b2-30-2,341,6850,9068,681,2287,607,222,666,344,261
b2-30-2,273,5527,7545,549,1776,422,180,538,292,207
b2-30-3,330,7508,10038,787,2891,631,205,611,284,211
b2-30-3,314,6142,8767,662,2347,558,225,622,301,204
b2-31-1,352,4792,5371,854,1890,278,418,618,245,159
b2-31-1,319,4159,5080,803,1663,231,380,566,215,148
b2-31-2,454,4979,5813,457,1971,540,544,930,286,281
b2-31-2,367,4440,5117,410,1731,424,509,807,233,251
b2-31-3,537,5954,5835,578,2723,692,899,1329,389,343
b2-31-3,477,5289,5221,524,2415,573,860,1245,357,309
b2-32-1,536,21291,2814,5536,6276,263,1663,1363,1448,412
b2-32-1,465,21813,2572,5155,5929,287,1517,1219,1416,378
b2-32-2,654,21995,3641,6110,6733,381,1912,1505,1593,521
b2-32-2,602,21746,3302,5626,6297,393,1704,1372,1479,472
b2-32-3,530,21379,2815,5118,5796,288,1621,1375,1362,447
b2-32-3,428,20745,2382,4453,4979,253,1383,1157,1205,389
b2-34-1,396,16412,4990,2822,3779,306,971,1018,683,1051
b2-34-1,351,15403,4491,2466,3308,353,863,939,663,927
b2-34-2,375,13269,4033,1956,2366,290,590,801,681,698
b2-34-2,326,12257,3442,1639,2051,282,515,663,585,610
b2-34-3,582,6190,6313,563,3221,621,805,1335,392,249
b2-34-3,490,5687,5799,502,2790,594,682,1221,343,220
b2-35-1,384,6697,7198,754,2383,465,263,807,348,280
b2-35-1,348,6245,6888,712,2145,504,261,757,331,246
b2-35-2,471,9285,7679,1194,3327,638,303,891,436,299
b2-35-2,396,8328,6874,969,2765,613,266,785,387,270
b2-35-3,354,5957,6473,558,1758,373,232,673,301,257
b2-35-3,329,5783,6288,546,1624,427,213,627,276,263
b2-36-1,494,7069,7368,846,2660,616,382,1009,376,304
b2-36-1,399,6099,6358,697,2178,612,344,877,308,249
b2-36-2,439,7707,6031,958,2838,541,422,911,376,275
b2-36-2,332,6771,5116,818,2374,424,345,739,286,221
b2-36-3,386,6206,4974,690,1881,404,325,784,305,257
b2-36-3,345,5792,4636,629,1699,418,294,706,267,222
