,C12 aldehyde saturated,C12 aldehyde,C13 aldehyde,C14 aldehyde saturated,C14 aldehyde,C15 aldehyde,C16 aldehyde saturated,C16 aldehyde,C17 aldehyde,C19 aldehyde
b3-rfp-01,244,1226,1071,310,542,187,139,295,174,169
b3-rfp-01,141,722,731,194,349,91,81,175,104,105
b3-rfp-02,211,1141,1286,292,487,184,124,241,157,144
b3-rfp-02,137,670,901,196,320,94,88,172,109,130
b3-rfp-03,244,1165,894,284,560,218,150,281,182,179
b3-rfp-03,187,877,697,219,437,135,110,202,146,139
b3-9017-1,332,2091,1848,1113,2529,354,1491,664,541,3372
b3-9017-1,315,1903,1701,1050,2467,330,1423,660,517,3073
b3-9017-2,338,2202,1816,1104,2803,374,1558,743,464,2643
b3-9017-2,283,1942,1629,1022,2624,314,1477,688,402,2430
b3-9017-3,248,1527,1659,733,1751,238,935,498,349,1853
b3-9017-3,216,1345,1594,670,1642,222,874,464,314,1719
b3-01-1,1032,2156,908,260,336,316,151,362,228,121
b3-01-1,1023,2167,946,243,325,313,144,367,214,110
b3-01-2,1288,2869,1349,364,480,382,203,456,294,143
b3-01-2,1247,2742,1283,339,431,367,167,428,268,136
b3-01-3,1213,2729,1356,353,430,375,189,468,288,136
b3-01-3,1217,2640,1332,343,415,368,184,465,267,137
b3-02-1,1074,2706,1041,311,452,360,180,396,284,153
b3-02-1,1091,2649,1044,341,465,408,201,434,287,162
b3-02-2,1082,2457,1072,302,423,337,176,409,268,146
b3-02-2,1047,2395,1060,284,394,317,157,376,251,130
b3-02-3,1332,2921,1079,332,428,380,171,370,262,126
b3-02-3,1122,2483,937,285,385,345,162,367,252,118
b3-03-1,440,3200,1342,387,596,274,145,293,244,165
b3-03-1,411,2982,1227,334,534,223,119,257,214,134
b3-03-2,425,3194,1328,418,634,297,152,335,269,166
b3-03-2,365,2825,1158,366,571,269,133,300,247,162
b3-03-3,420,2801,1596,405,599,280,148,314,247,168
b3-03-3,414,2736,1604,396,594,296,157,310,258,161
b3-05-1,1232,1705,1231,317,506,371,142,304,250,155
b3-05-1,1129,1522,1112,300,472,385,146,298,253,141
b3-05-2,1215,1543,771,260,484,372,134,305,274,155
b3-05-2,1183,1517,763,262,505,400,147,311,272,162
b3-05-3,1202,1649,1051,296,483,402,132,297,251,141
b3-05-3,1134,1521,1006,290,488,399,139,295,247,144
b3-06-1,217,913,394,143,262,99,96,127,114,96
b3-06-1,165,716,320,106,214,70,75,98,91,72
b3-06-2,397,1650,765,296,609,232,163,296,229,191
b3-06-2,304,1359,671,250,499,181,135,240,175,190
b3-06-3,399,1607,1368,389,623,239,173,341,230,199
b3-06-3,415,1610,1376,384,603,242,165,336,223,200
b3-07-1,731,3701,2538,471,693,331,174,360,367,162
b3-07-1,645,3361,2268,429,563,250,133,300,300,137
b3-07-2,798,4247,2541,507,694,351,171,362,394,167
b3-07-2,661,3657,2073,429,567,289,135,297,342,141
b3-07-3,731,3645,2272,430,615,297,159,353,352,161
b3-07-3,691,3398,2147,398,610,325,168,357,340,149
b3-08-1,713,3539,2193,428,668,338,186,403,387,170
b3-08-1,720,3376,2202,426,661,377,178,394,388,178
b3-08-2,692,3699,2015,437,638,334,185,394,346,167
b3-08-2,742,3617,2131,451,603,336,159,383,348,175
b3-08-3,749,3900,2357,467,689,341,190,408,356,176
b3-08-3,796,3642,2384,446,641,353,174,408,351,179
b3-10-1,1440,2477,974,398,728,536,209,417,434,221
b3-10-1,1440,2345,932,393,645,545,195,401,435,210
b3-10-2,1428,2283,896,348,636,400,170,368,359,197
b3-10-2,1197,1978,732,293,497,339,132,292,312,161
b3-10-3,1111,1936,1086,358,610,436,163,344,366,183
b3-10-3,1241,1970,1132,396,634,539,182,375,406,215
b2-11-1,534,1894,692,243,368,129,107,163,188,98
b2-11-1,596,1262,736,209,345,158,99,176,205,111
b2-11-2,1173,3102,1069,412,664,298,188,364,372,195
b2-11-2,1208,2595,1045,373,586,327,175,342,361,189
b2-11-3,1168,3174,913,390,660,305,191,359,358,186
b2-11-3,1067,2492,864,337,546,315,170,320,329,160
b3-13-1,286,4752,5698,445,2102,405,405,720,256,231
b3-13-1,309,3720,4888,366,1763,381,351,655,235,198
b3-13-2,308,5654,5898,540,2796,429,621,889,281,242
b3-13-2,294,5203,5804,487,2717,442,599,861,276,234
b3-13-3,233,5078,5542,450,2451,348,472,743,229,200
b3-13-3,237,4814,5454,426,2406,338,443,741,218,205
b3-14-1,48,2040,857,144,256,23,81,87,38,29
b3-14-1,38,2223,449,150,249,16,89,72,37,31
b3-14-2,292,16832,3011,2419,2642,255,1054,901,803,458
b3-14-2,256,16100,2728,2190,2379,244,894,781,748,397
b3-14-3,274,16615,2859,2424,2917,245,1326,1057,746,525
b3-14-3,271,16306,2735,2273,2811,253,1227,1003,781,509
b3-16-1,305,5661,4894,527,4591,710,1064,1575,355,307
b3-16-1,287,5156,4570,472,4292,689,1037,1448,325,294
b3-16-2,287,4949,4888,428,4310,670,1161,1511,305,296
b3-16-2,279,4966,4952,439,4374,777,1202,1565,329,300
b3-16-3,241,4011,3324,349,2871,392,1126,1690,233,224
b3-16-3,196,3399,2841,309,2466,353,1035,1518,205,203
b3-18-1,301,20415,1810,2971,4101,205,1147,1043,1084,238
b3-18-1,297,20823,1723,2894,3992,212,1105,1026,967,223
b3-18-2,280,19719,1745,2900,4179,178,1303,1138,1023,257
b3-18-2,343,21086,1941,3210,4599,238,1459,1253,1074,290
b3-18-3,273,19145,1851,2838,3734,172,1223,1033,967,257
b3-18-3,268,19457,1731,2875,3734,181,1241,1068,1018,256
b2-19-1,322,19920,2671,3181,3696,249,1444,1240,964,456
b2-19-1,324,19969,2601,3094,3631,250,1439,1242,961,457
b2-19-2,331,19082,2736,2848,3252,266,1246,1073,948,390
b2-19-2,289,18735,2437,2637,3008,228,1197,993,876,373
b2-19-3,288,18028,2914,2566,2981,228,1220,993,800,437
