Line Name,Protein Name,Total Area
C1-S3-B1.3-R1,YjgB,1344.0
C1-S3-B1.3-R2,YjgB,2361.0
C1-S3-B1.3-R3,YjgB,1275.0
C1-S5-B1.3-R1,YjgB,800.0
C1-S5-B1.3-R2,YjgB,1180.0
C1-S5-B1.3-R3,YjgB,693.0
C1-S6-B1.3-R1,YjgB,2639.0
C1-S6-B1.3-R2,YjgB,1730.0
C1-S6-B1.3-R3,YjgB,2830.0
C1-S7-B1.3-R1,YjgB,0.0
C1-S7-B1.3-R2,YjgB,386.0
C1-S7-B1.3-R3,YjgB,406.0
C1-S8-B1.3-R1,YjgB,378.0
C1-S8-B1.3-R2,YjgB,0.0
C1-S8-B1.3-R3,YjgB,657.0
C1-S10-B1.3-R1,YjgB,0.0
C1-S10-B1.3-R2,YjgB,0.0
C1-S10-B1.3-R3,YjgB,0.0
C1-S13-B1.3-R1,YjgB,887.0
C1-S13-B1.3-R2,YjgB,1376.0
C1-S13-B1.3-R3,YjgB,0.0
C1-S16-B1.3-R1,YjgB,0.0
C1-S16-B1.3-R2,YjgB,0.0
C1-S16-B1.3-R3,YjgB,527.0
C1-S18-B1.3-R1,YjgB,1663.0
C1-S18-B1.3-R2,YjgB,814.0
C1-S18-B1.3-R3,YjgB,822.0
C1-S21-B1.3-R1,YjgB,146386.0
C1-S21-B1.3-R2,YjgB,145548.0
C1-S21-B1.3-R3,YjgB,153728.0
C1-S23-B1.3-R1,YjgB,169309.0
C1-S23-B1.3-R2,YjgB,168464.0
C1-S23-B1.3-R3,YjgB,156819.0
C1-S24-B1.3-R1,YjgB,199457.0
C1-S24-B1.3-R2,YjgB,200666.0
C1-S24-B1.3-R3,YjgB,207706.0
C0-S9017-B1.3-R1,YjgB,777.0
C0-S9017-B1.3-R2,YjgB,1219.0
C0-S9017-B1.3-R3,YjgB,692.0
C1-S11-B2.3-R1,YjgB,1535.0
C1-S11-B2.3-R2,YjgB,2090.0
C1-S11-B2.3-R3,YjgB,3012.0
C1-S32-B2.3-R1,YjgB,5013.0
C1-S32-B2.3-R2,YjgB,4111.0
C1-S32-B2.3-R3,YjgB,4796.0
C0-S9017-B2.3-R1,YjgB,1915.0
C0-S9017-B2.3-R2,YjgB,2339.0
C0-S9017-B2.3-R3,YjgB,1978.0
C2-S10-B2.3-R1,YjgB,1241.0
C2-S10-B2.3-R2,YjgB,2666.0
C2-S10-B2.3-R3,YjgB,832.0
C2-S11-B2.3-R1,YjgB,0.0
C2-S11-B2.3-R2,YjgB,492.0
C2-S11-B2.3-R3,YjgB,350.0
C2-S15-B2.3-R1,YjgB,5622.0
C2-S15-B2.3-R2,YjgB,7013.0
C2-S15-B2.3-R3,YjgB,6996.0
C2-S16-B2.3-R1,YjgB,5982.0
C2-S16-B2.3-R2,YjgB,6076.0
C2-S16-B2.3-R3,YjgB,6608.0
C2-S17-B2.3-R1,YjgB,7410.0
C2-S17-B2.3-R2,YjgB,7846.0
C2-S17-B2.3-R3,YjgB,7846.0
C2-S19-B2.3-R1,YjgB,7300.0
C2-S19-B2.3-R2,YjgB,6225.0
C2-S19-B2.3-R3,YjgB,6533.0
C2-S20-B2.3-R1,YjgB,4434.0
C2-S20-B2.3-R2,YjgB,5355.0
C2-S20-B2.3-R3,YjgB,4287.0
C2-S21-B2.3-R1,YjgB,2324.0
C2-S21-B2.3-R2,YjgB,435.0
C2-S21-B2.3-R3,YjgB,1178.0
C2-S22-B2.3-R1,YjgB,625.0
C2-S22-B2.3-R2,YjgB,3280.0
C2-S22-B2.3-R3,YjgB,2045.0
C2-S23-B2.3-R1,YjgB,548.0
C2-S23-B2.3-R2,YjgB,996.0
C2-S23-B2.3-R3,YjgB,1888.0
C2-S5-B2.3-R1,YjgB,3819.0
C2-S5-B2.3-R2,YjgB,5006.0
C2-S5-B2.3-R3,YjgB,3696.0
C2-S7-B2.3-R1,YjgB,1775.0
C2-S7-B2.3-R2,YjgB,1954.0
C2-S7-B2.3-R3,YjgB,2749.0
C2-S8-B2.3-R1,YjgB,4451.0
C2-S8-B2.3-R2,YjgB,4519.0
C2-S8-B2.3-R3,YjgB,4199.0
C2-S1-B2.4-R1,YjgB,1935.0
C2-S1-B2.4-R2,YjgB,1407.0
C2-S1-B2.4-R3,YjgB,2469.0
C2-S2-B2.4-R1,YjgB,1970.0
C2-S2-B2.4-R2,YjgB,2230.0
C2-S2-B2.4-R3,YjgB,1964.0
C2-S4-B2.4-R1,YjgB,2000.0
C2-S4-B2.4-R2,YjgB,1701.0
C2-S4-B2.4-R3,YjgB,1849.0
C1-S11-B2.4-R1,YjgB,1184.0
C1-S11-B2.4-R2,YjgB,2373.0
C1-S11-B2.4-R3,YjgB,2177.0
C2-S11-B2.4-R1,YjgB,4359.0
C2-S11-B2.4-R2,YjgB,2978.0
C2-S11-B2.4-R3,YjgB,2836.0
C2-S14-B2.4-R1,YjgB,1575.0
C2-S14-B2.4-R2,YjgB,1353.0
C2-S14-B2.4-R3,YjgB,866.0
C2-S24-B2.4-R1,YjgB,6290.0
C2-S24-B2.4-R2,YjgB,4330.0
C2-S24-B2.4-R3,YjgB,4773.0
C1-S32-B2.4-R1-delPoxB,YjgB,4231.0
C1-S32-B2.4-R2-delPoxB,YjgB,4098.0
C1-S32-B2.4-R3-delPoxB,YjgB,2673.0
C1-S32-B2.4-R1-delPta,YjgB,3382.0
C1-S32-B2.4-R2-delPta,YjgB,3154.0
C1-S32-B2.4-R3-delPta,YjgB,2865.0
C1-S32-B2.4-R1-delPtaelPoxB,YjgB,7130.0
C1-S32-B2.4-R2-delPtaelPoxB,YjgB,7568.0
C1-S32-B2.4-R3-delPtaelPoxB,YjgB,6732.0
C0-S9017-B2.4-R1,YjgB,2158.0
C0-S9017-B2.4-R2,YjgB,1819.0
C0-S9017-B2.4-R3,YjgB,1574.0
C2-S1-B2.5-R1-IPTG0.5,YjgB,555.0
C2-S1-B2.5-R2-IPTG0.5,YjgB,677.0
C2-S1-B2.5-R3-IPTG0.5,YjgB,1024.0
C2-S1-B2.5-R1-IPTG1.0,YjgB,1262.0
C2-S1-B2.5-R2-IPTG1.0,YjgB,1153.0
C2-S1-B2.5-R3-IPTG1.0,YjgB,829.0
C2-S2-B2.5-R1-IPTG0.5,YjgB,1177.0
C2-S2-B2.5-R2-IPTG0.5,YjgB,337.0
C2-S2-B2.5-R3-IPTG0.5,YjgB,0.0
C2-S2-B2.5-R1-IPTG1.0,YjgB,403.0
C2-S2-B2.5-R2-IPTG1.0,YjgB,0.0
C2-S2-B2.5-R3-IPTG1.0,YjgB,0.0
C2-S3-B2.5-R1,YjgB,725.0
